Model,Run_Name,Elo,Win_Rate
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_basic,1457.9045,0.1667
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1498.7397,0.3333
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1466.7379,0.3333
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1500.6971,0.3333
chatgpt-4o-latest,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1441.0012,0.1667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_basic,1556.6127,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1555.1012,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1554.4470,0.6667
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1530.4041,0.5000
deepseek-r1,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1543.6609,0.5000
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_basic,1460.2777,0.1667
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1503.1868,0.3333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1474.1919,0.3333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1499.2080,0.3333
gemini-2.5-flash,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1486.0796,0.1667
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic,1570.2422,0.8333
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1514.0491,0.1667
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1542.2915,0.5000
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1501.4632,0.1667
grok-3-mini,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1544.2332,0.5000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_basic,1458.0233,0.1667
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1499.8007,0.3333
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1475.4691,0.1667
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1495.9409,0.5000
llama-4-maverick,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1457.5404,0.1667
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_basic,1516.6998,0.5000
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1515.3389,0.1667
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1513.7989,0.3333
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1471.1107,0.3333
o3-mini,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1486.3007,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_basic,1480.2399,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_chain_of_thought,1413.7836,0.0000
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_few_shot,1473.0637,0.1667
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_generated_knowledge,1501.1760,0.3333
qwen3-235b-a22b-2507,TicTacToe-v0_1x_FINAL_MODELS_tree_of_thoughts,1541.1840,0.6667
